Salary,YearsCode,EdLevel,RemoteWork,Is_USA
57999.0,39.0,Bachelors,In-person,0
27934.0,18.0,Bachelors,Hybrid,0
180000.0,40.0,Masters,Remote,1
176800.0,23.0,Masters,Remote,1
89147.0,12.0,Masters,Hybrid,0
60546.0,19.0,Masters,Hybrid,0
49889.0,12.0,Bachelors,Remote,0
120000.0,10.0,Bachelors,Remote,0
51426.0,10.0,Masters,Hybrid,0
107406.0,24.0,Masters,Hybrid,0
175000.0,30.0,Bachelors,Remote,1
71337.0,21.0,Bachelors,In-person,0
70000.0,10.0,Bachelors,Remote,0
59073.0,40.0,Masters,Hybrid,0
115000.0,7.0,Bachelors,Remote,1
48333.0,15.0,Masters,Hybrid,0
53703.0,20.0,Bachelors,Hybrid,0
59073.0,35.0,Masters,In-person,0
118147.0,19.0,Masters,Remote,0
77951.0,26.0,Masters,Remote,0
107406.0,16.0,Masters,Remote,0
109009.0,14.0,Bachelors,Hybrid,0
60235.0,20.0,Bachelors,Hybrid,0
170000.0,24.0,Bachelors,Hybrid,1
27540.0,25.0,Bachelors,Hybrid,0
80000.0,5.0,Bachelors,In-person,1
100962.0,19.0,Bachelors,Hybrid,0
91295.0,33.0,Masters,In-person,0
207662.0,17.0,Masters,Hybrid,1
66592.0,19.0,Masters,Remote,0
21640.0,8.0,Bachelors,Hybrid,0
220000.0,23.0,Bachelors,Remote,1
35806.0,17.0,Masters,Hybrid,0
92692.0,21.0,Masters,Remote,0
70000.0,9.0,Masters,Hybrid,0
51555.0,7.0,Bachelors,Hybrid,0
214812.0,14.0,Bachelors,Remote,0
182000.0,30.0,Bachelors,Remote,1
143000.0,13.0,Masters,Remote,1
66000.0,27.0,Bachelors,Remote,1
41960.0,13.0,Bachelors,Hybrid,0
83000.0,8.0,Bachelors,In-person,1
111417.0,10.0,Bachelors,Hybrid,0
135000.0,9.0,Bachelors,Hybrid,1
83777.0,12.0,Masters,Remote,0
64444.0,35.0,Masters,In-person,0
47259.0,12.0,Masters,Hybrid,0
114649.0,15.0,Masters,Hybrid,0
140000.0,17.0,Bachelors,Remote,1
69814.0,26.0,Bachelors,Hybrid,0
245000.0,6.0,Bachelors,Remote,1
43616.0,8.0,Masters,Hybrid,0
32000.0,13.0,Bachelors,In-person,1
86870.0,19.0,Masters,Remote,0
140000.0,10.0,Bachelors,Hybrid,1
98986.0,16.0,Masters,Remote,0
67666.0,7.0,Masters,Remote,0
80555.0,9.0,Bachelors,Remote,0
59515.0,24.0,Bachelors,Remote,0
86597.0,32.0,Bachelors,Hybrid,0
36000.0,7.0,Bachelors,Remote,1
236294.0,39.0,Bachelors,Remote,0
61436.0,35.0,Bachelors,Hybrid,0
88073.0,14.0,Bachelors,Remote,0
74110.0,15.0,Bachelors,Hybrid,0
78300.0,5.0,Bachelors,Hybrid,1
74239.0,20.0,Bachelors,Hybrid,0
64444.0,5.0,Bachelors,Hybrid,0
56925.0,15.0,Masters,In-person,0
165000.0,23.0,Bachelors,Hybrid,1
180000.0,20.0,Bachelors,Remote,1
150000.0,16.0,Bachelors,Remote,1
